PREFORM;PERFORM
RAMBLE;MARBLE
MELON;LEMON
SNOOP;SPOON
ADOBE;ABODE
DOSE;DOES
TALE;LATE
MAID;AMID
ROBE;BORE
SHUT;THUS
KEEN;KNEE
LATE;TALE
FORM;FROM
NODE;DONE
FROM;FORM
VEIL;EVIL
LAST;SALT
BORE;ROBE
SPAN;SNAP
MEAT;TEAM
ODOR;DOOR
TIRE;RITE
AMID;MAID
THUS;SHUT
LOOP;POOL
TEAM;MEAT
DONE;NODE
RITE;TIRE
LOST;LOTS
LIFE;FILE
FLEE;FEEL
NOTE;TONE
STOP;SPOT
DEAR;READ
NEST;SENT
MILE;LIME
RACE;CARE
SENT;NEST
EVIL;VEIL
SOLE;LOSE
MOOD;DOOM
SIGN;SING
POOL;LOOP
LEFT;FELT
LIME;MILE
CARE;ACRE,RACE
READ;DEAR
FELT;LEFT
FEEL;FLEE
DOOM;MOOD
KNEE;KEEN
FACE;CAFE
TONE;NOTE
SALT;LAST
DEAL;LEAD
ACRE;CARE
CAFE;FACE
SNAP;SPAN
DOOR;ODOR
SPOT;STOP
DOES;DOSE
FILE;LIFE
LOSE;SOLE
LEAD;DEAL
LOTS;LOST
SING;SIGN
